食材,风味物质及英文名,风味描述
猕猴桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
猕猴桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
猕猴桃,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
百里香,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
芜菁,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
芝麻叶,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
苦苣,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
苹果,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
莱姆,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,花香
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,草味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青苹果味
萝卜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,青草味
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,呛辣味
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,杏仁味
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,果香
葱属蔬菜,​​(E)-2-己烯醛(=青叶醛)([E]-2-hexenal(=leaf aldehyde))​​,油脂味
